name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_alternate_names
HD 13908 b,Confirmed,0.865,0.035,0.035,0.865,0.035,0.035,,,,19.382,0.006,0.006,0.154,0.0025,0.0025,0.046,0.022,0.022,,,,,2013,25/08/2014,185,43,43,2455750.93,0.18,0.18,,,,2455756.032,0.156,0.156,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 13908,34.56250001,65.59444447,7.51,,,,,71.2,0.01,1.29,,F8V,2.9,6255,
HD 13908 c,Confirmed,5.13,0.25,0.25,5.13,0.25,0.25,,,,931,17,17,2.03,0.04,0.04,0.12,0.02,0.02,,,,,2013,25/08/2014,185,11,11,2456165,9,9,,,,2456436,15,15,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 13908,34.56250001,65.59444447,7.51,,,,,71.2,0.01,1.29,,F8V,2.9,6255,
HD 13931 b,Confirmed,1.88,0.15,0.15,1.88,0.15,0.15,,,,4218,388,388,5.15,0.29,0.29,0.02,0.05,0.05,,,,0.116516,2010,30/08/2014,290,78,78,2454494,904,904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 13931,34.1958333,43.7730556,7.61,,,,,44.2,0.03,1.02,1.23,G0,8.4,5829,
HD 139357 b,Confirmed,9.76,2.15,2.15,9.76,2.15,2.15,,,,1125.7,9,9,2.36,0.2,0.2,0.1,0.02,0.02,,,,0.01944,2009,23/03/2009,235.4,10.6,10.6,2452466.7,3.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 139357,233.8166667,53.9222222,5.98,,,,,121.4,-0.13,1.35,11.47,K4III,3.07,4700,
HD 1397 b,Confirmed,0.419,0.024,0.024,,,,1.023,0.026,0.023,11.53604,0.00037,0.00037,0.1097,0.0012,0.0012,0.265,0.023,0.023,88.92,0.73,0.73,,2018,06/11/2018,0.1,7.4,6.2,,,,,,,2458332.082,0.0005,0.0005,,,,,,,0.18,0.13,0.13,,,,32.5,1.8,1.8,1228,10,10,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HD 1397,4.445833349,-66.3588889,7.9,,,,,79.31,0.27,1.322,2.328,G5III,4.52,5528,
HD 14067 b,Confirmed,7.8,0.7,0.7,7.8,0.7,0.7,,,,1455,12,13,3.4,0.1,0.1,0.533,0.047,0.043,,,,,2014,09/10/2014,109.9,5.7,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 14067,34.293499,23.76782827,6.51,,,,,163.4,-0.1,2.4,12.4,G9 III,0.69,4815,
HD 141399 b,Confirmed,0.451,0.03,0.03,0.451,0.03,0.03,,,,94.44,0.05,0.05,0.415,0.011,0.011,0.04,0.02,0.02,,,,,2014,16/02/2016,270,80,80,2456998,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 141399,236.725,46.98638891,7.2,,,,,36.17,0.35,1.07,1.46,K0V,,5600,
HD 141399 c,Confirmed,1.33,0.08,0.08,1.33,0.08,0.08,,,,201.99,0.08,0.08,0.689,0.02,0.02,0.048,0.009,0.009,,,,,2014,17/02/2016,220,40,40,2456838,10,10,,,,,,,,,,,,,,,,,,,44.2,0.5,0.5,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 141399,236.725,46.98638891,7.2,,,,,36.17,0.35,1.07,1.46,K0V,,5600,
HD 141399 d,Confirmed,1.18,0.08,0.08,1.18,0.08,0.08,,,,1069.8,6.7,6.7,2.09,0.06,0.06,0.074,0.025,0.025,,,,,2014,17/02/2016,220,30,30,2456923,65,65,,,,,,,,,,,,,,,,,,,22.63,0.6,0.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 141399,236.725,46.98638891,7.2,,,,,36.17,0.35,1.07,1.46,K0V,,5600,
HD 141399 e,Confirmed,0.66,0.1,0.1,0.66,0.1,0.1,,,,5000,2000,560,5,1.5,1.5,0.26,0.22,0.22,,,,,2014,17/02/2016,350,20,20,2458900,800,800,,,,,,,,,,,,,,,,,,,8.8,0.9,0.9,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 141399,236.725,46.98638891,7.2,,,,,36.17,0.35,1.07,1.46,K0V,,5600,
HD 141937 b,Confirmed,9.7,,,9.7,,,,,,653.22,1.21,1.21,1.52,,,0.41,0.01,0.01,,,,0.045427,2002,29/12/2010,187.72,0.8,0.8,51847.38,1.97,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 141937,238.0708333,-18.4358333,7.25,,,,,33.46,0.11,1.1,1.06,G2/G3 V,2.55,5925,
HD 142 b,Confirmed,1.25,0.15,0.15,1.25,0.15,0.15,,,,349.7,1.2,1.2,1.02,0.3,0.3,0.17,0.06,0.06,,,,0.049515,2001,15/05/2012,327,26,26,2452683,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 142,1.5791667,-49.075,5.7,,,,,20.6,0.04,1.1,0.86,G1 IV,5.93,6180,
HD 142 c,Confirmed,5.3,0.7,0.7,5.3,0.7,0.7,,,,6005,477,477,6.8,0.5,0.5,0.21,0.07,0.07,,,,0.330097,2012,10/10/2013,250,20,20,2455954,223,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 142,1.5791667,-49.075,5.7,,,,,20.6,0.04,1.1,0.86,G1 IV,5.93,6180,
HD 142022 A b,Confirmed,29.4,16.3,81,5.1,1.5,2.6,,,,1928,39,53,3.03,0.005,0.005,0.53,0.18,0.23,10,6,6,0.084472,2005,26/05/2014,170,10,8,50941,91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 142022 A,242.5625,-84.2313889,7.7,,,,,35.87,0.19,0.99,0.705,K0 V,13.3,5382,
HD 142245 b,Confirmed,1.9,0.2,0.2,1.9,0.2,0.2,,,,1299,48,48,2.77,0.09,0.09,0.32,inf,nan,,,,0.025297,2011,02/09/2011,234,60,60,2454760,240,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 142245,238.2333333,15.4308333,7.63,,,,,109.5,0.23,1.69,5.2,K0,2.3,4878,
HD 142415 b,Confirmed,1.62,,,1.62,,,,,,386.3,1.6,1.6,1.05,,,0.5,,,,,,0.030702,2003,29/12/2010,255,4,4,51519,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 142415,239.4166667,-60.2,7.34,,,,,34.2,0.21,1.09,1.03,G1 V,1.49,5834,
HD 143105 b,Confirmed,1.21,0.06,0.06,1.21,0.06,0.06,,,,2.1974,0.0003,0.0003,0.0379,0.0009,0.0009,0.07,0.07,0,,,,,2016,17/02/2016,,,,2456531.344,0.007,0.007,,,,,,,,,,,,,,,,,,,144,2.6,2.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 143105,238.4041667,68.72000002,6.75,,,,,48.7,0.15,1.51,,F5,,6380,
HD 143361 b,Confirmed,3.12,1.44,1.44,3.12,1.44,1.44,,,,1057,20,20,2,,,0.15,0.17,0.17,,,,0.033698,2008,20/05/2009,237,55,55,3746,147,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 143361,240.4583333,-44.4344444,9.2,,,,,59.35,0.29,0.95,,G0V,,,
HD 143761 b,Confirmed,1.045,0.024,0.024,1.045,0.024,0.024,,,,39.8458,0.0015,0.0015,0.2196,0.0025,0.0025,0.037,0.004,0.004,,,,,2016,11/07/2016,270.6,5.9,5.9,,,,,,,,,,,,,,,,,,,,,,67.28,0.25,0.25,614,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 143761,240.2625,33.30361112,5.4,,,,,17.236,-0.31,0.889,1.362,G0V,,5627,
HD 143761 c,Confirmed,0.079,0.0063,0.0063,0.079,0.0063,0.0063,,,,102.54,0.17,0.17,0.4123,0.0047,0.0047,0.05,0.037,0.061,,,,,2016,11/07/2016,190,140,110,,,,,,,,,,,,,,,,,,,,,,3.74,0.28,0.28,448.1,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 143761,240.2625,33.30361112,5.4,,,,,17.236,-0.31,0.889,1.362,G0V,,5627,
HD 145377 b,Confirmed,5.76,0.1,0.1,5.76,0.1,0.1,,,,103.95,0.13,0.13,0.45,0.004,0.004,0.307,0.017,0.017,,,,0.007799,2008,28/10/2008,138.1,2.8,2.8,54635.4,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 145377,242.9,-27.0780556,8.12,,,,,57.7,0.12,1.12,1.14,G3V,1.3,6046,
HD 145457 b,Confirmed,2.9,,,2.9,,,,,,176.3,0.39,0.39,0.76,,,0.112,3.1,3.1,,,,0.006032,2010,18/05/2010,300,26,26,3518,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 145457,242.5166667,26.7427778,6.57,,,,,126,-0.14,1.9,9.9,K0,,4757,
HD 145934 b,Confirmed,2.28,0.6,0.6,2.28,0.6,0.6,,,,2730,100,100,4.6,0.14,0.14,0.053,0.053,0.053,,,,,2015,07/01/2015,215,62,62,2451430,370,370,,,,,,,,,,,,,,,,,,,22.9,2.6,2.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 145934,243.2916667,13.23944445,7.6,,,,,,,1.748,5.38,K0,,,
HD 1461 b,Confirmed,0.0203,0.0019,0.0019,0.0203,0.0019,0.0019,,,,5.7715,0.0004,0.0004,0.0634,0.0022,0.0022,0.11,0.07,0.07,,,,0.002711,2009,12/02/2019,,,,2450366.936,,,,,,,,,,,,,,,,,,,,,2.26,0.15,0.15,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 1461,4.675,-8.0530556,6.64,,,,,23.4,0.19,1.02,1.095,G0V,6.3,5765,
HD 1461 c,Confirmed,0.0176,0.0023,0.0023,0.0176,0.0023,0.0023,,,,13.506,0.003,0.003,0.1117,0.0039,0.0039,0.15,0.1,0.1,,,,0.004774,2011,12/02/2019,,,,,,,,,,,,,,,,,,,,,,,,,1.6,0.16,0.16,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 1461,4.675,-8.0530556,6.64,,,,,23.4,0.19,1.02,1.095,G0V,6.3,5765,
HD 147018 b,Confirmed,2.12,0.07,0.07,2.12,0.07,0.07,,,,44.236,0.008,0.008,0.2388,0.0039,0.0039,0.4686,0.0081,0.0081,,,,0.005559,2009,20/05/2013,335.97,1.23,1.23,4459.49,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 147018,245.75,-61.6888889,8.3,,,,,42.96,0.1,0.927,,G9V,6.36,5441,
HD 147018 c,Confirmed,6.56,0.32,0.32,6.56,0.32,0.32,,,,1008,18,18,1.922,0.039,0.039,0.133,0.011,0.011,,,,0.044739,2009,20/05/2013,226.9,6.9,6.9,55301,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 147018,245.75,-61.6888889,8.3,,,,,42.96,0.1,0.927,,G9V,6.36,5441,
HD 147379 b,Confirmed,0.0777,0.0076,0.0057,0.0777,0.0076,0.0057,,,,86.54,0.07,0.07,0.3193,0.0002,0.0002,0.01,0.01,0.12,,,,,2018,25/10/2018,93,122,111,,,,,,,,,,,,,,,,,,,,,,5.14,0.48,0.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"GJ 617A b, Gl617A b",,HD 147379,244.1791667,67.2388889,8.9,,,,,10.735,0.16,0.58,0.57,M1V,,4090,"Gl617A, GJ 617A"
HD 147513 b,Confirmed,1.21,,,1.21,,,,,,528.4,6.3,6.3,1.32,,,0.26,0.05,0.05,,,,0.102326,2003,29/12/2010,282,9,9,51672,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 147513,246.0041667,-39.1927778,5.37,,,,,12.9,-0.03,0.92,1,G3/G5V,0.65,5701,
HD 14787 b,Confirmed,1.121,0.069,0.069,1.121,0.069,0.069,1.25,,,676.6,8.1,8.1,1.7,0.17,0.17,0.155,0.073,0.073,,,,,2018,20/12/2018,343,28,28,2455555,49,49,,,,,,,,,,,,,,,,,,,20.7,1.3,1.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 14787,35.80856,10.83675,7.63,,,,,119.5,,1.43,5.01,G5,,4942,
HD 147873 b,Confirmed,5.14,0.34,0.34,5.14,0.34,0.34,,,,116.596,0.023,0.023,0.522,0.018,0.018,0.207,0.013,0.013,,,,,2016,02/04/2016,80,3,3,,,,,,,,,,,,,,,,,,,,,,171.5,1.2,1.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 147873,246.4375,-33.45361112,7.96,,,,,104.93,-0.03,1.38,2.29,G1V,4,5972,
HD 147873 c,Confirmed,2.3,0.18,0.18,2.3,0.18,0.18,,,,491.54,0.79,0.79,1.36,0.05,0.05,0.23,0.03,0.03,,,,,2016,02/04/2016,42,11,11,,,,,,,,,,,,,,,,,,,,,,47.9,1.7,1.7,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 147873,246.4375,-33.45361112,7.96,,,,,104.93,-0.03,1.38,2.29,G1V,4,5972,
HD 148156 b,Confirmed,0.85,0.05,0.06,0.85,0.05,0.06,,,,1010,,,2.45,0.05,0.05,0.52,0.09,0.09,,,,0.046183,2009,09/09/2010,35,12,12,4707,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 148156,247.0708333,-46.3175,7.69,,,,,53.05,0.29,1.22,1.21,F8V,,6308,
HD 148164 b,Confirmed,5.16,0.82,0.82,5.16,0.82,0.82,,,,5062,114,114,6.15,0.5,0.5,0.125,0.017,0.017,,,,,2018,18/09/2018,152,11,11,2464193,155,155,,,,,,,,,,,,,,,,,,,54.28,0.89,0.89,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 148164,246.4375,11.91916669,8.23,,,,,72,0.24,1.21,1.34,F8,2.41,6032,
HD 148164 c,Confirmed,1.23,0.25,0.25,1.23,0.25,0.25,,,,328.55,0.41,0.41,0.993,0.066,0.066,0.587,0.026,0.026,,,,,2018,18/09/2018,141.5,2.7,2.7,2463472.7,4.7,4.7,,,,,,,,,,,,,,,,,,,39.6,1.7,1.7,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 148164,246.4375,11.91916669,8.23,,,,,72,0.24,1.21,1.34,F8,2.41,6032,
HD 148284 b,Confirmed,34.5,0.66,0.66,34.5,0.66,0.66,1.067,,,339.302,0.026,0.026,0.974,0.055,0.055,0.38967,0.00097,0.00097,,,,,2018,30/12/2018,35.53,0.15,0.15,2455786.93,0.12,0.12,,,,,,,,,,,,,,,,,,,1022,1.4,1.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 148284,246.45,30.26500002,9.01,,,,,94,,1.07,1.48,K0,8.7,5572,
HD 148427 b,Confirmed,0.96,0.1,0.1,0.96,0.1,0.1,,,,331.5,3,3,0.93,0.01,0.01,0.16,0.08,0.08,,,,0.015683,2009,13/08/2009,277,68,68,13991,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 148427,247.1166667,-13.3997222,6.89,,,,,59.3,0.154,1.45,3.22,K0IV,2.5,5052,
HD 149026 b,Confirmed,0.357,0.011,0.014,0.356,0.011,0.013,0.718,0.065,0.065,2.8758916,1.40E-06,1.40E-06,0.04288,0.00033,0.00033,0,,,85.3,0.8,0.8,0.000543,2005,24/02/2015,,,,2453317.838,0.003,0.003,,,,2454597.707,0.00016,0.00016,,,,,,,,,,,,,54.63,11.9,11.9,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HD 149026,247.6208333,38.3472222,8.15,,,,,78.9,0.36,1.3,1.497,G0 IV,2,6147,
HD 149143 b,Confirmed,1.33,,,1.33,,,1.05,,,4.07206,0.000320041,0.000320041,0.052,,,0.0123,0.0093,0.0115,,,,0.000825,2005,27/02/2015,204.8,55.9,55.9,2453413.1,,,,,,,,,,,,,,,,,,,,,149.28,1.65,1.65,,,,,,,,,,Announced on a professional conference,Radial Velocity,Radial Velocity,Theoretical,,,HD 149143,248.2125,2.0847222,7.9,,,,,63,0.26,1.1,,G0 IV,7.6,5730,
HD 1502 b,Confirmed,2.75,0.16,0.16,2.75,0.16,0.16,1.183,,,428.5,1.2,1.2,1.262,0.092,0.092,0.031,0.022,0.022,,,,0.008239,2011,30/12/2018,126,58,58,2455170,67,67,,,,,,,,,,,,,,,,,,,57.5,3.3,3.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 1502,4.821109911,14.05475594,8.36,,,,,159,0.09,1.46,4.67,K0D,2.4,4947,
HD 150433 b,Confirmed,0.168,0.0197,0.0197,0.168,0.0197,0.0197,,,,1096.2,27.234,27.234,1.9303,0.0452,0.0452,0,,,,,,0.065213,2011,12/09/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 150433,250.2833333,-2.8572222,7.22,,,,,29.6,,,,G0,,,
HD 150706 b,Confirmed,2.71,0.66,1.14,2.71,0.66,1.14,,,,5894,1498,5584,6.7,1.4,4,0.38,0.32,0.28,,,,0.246324,2002,25/05/2014,132,33,37,2458179,1586,4396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Radial Velocity,,,,,HD 150706,247.8208333,79.7897222,7.03,,,,,27.2,-0.13,0.94,0.87,G0,1.17,5741,
HD 152079 b,Confirmed,3,2,2,3,2,2,,,,2097,930,930,3.2,2.1,2.1,0.6,0.24,0.24,,,,0.037572,2010,27/08/2014,325,37,37,2453193,260,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 152079,253.375,-46.3308333,9.18,,,,,85.17,0.16,1.023,,G6V,,,
HD 152581 b,Confirmed,1.5,0.1,0.1,1.5,0.1,0.1,,,,689,13,13,1.48,0.04,0.04,0.22,inf,nan,,,,0.007957,2011,02/09/2011,321,90,90,2455320,190,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 152581,253.4333333,11.9736111,8.54,,,,,186,-0.46,0.927,4.8,K0,12,5155,
HD 153950 b,Confirmed,2.73,0.05,0.05,2.73,0.05,0.05,,,,499.4,3.6,3.6,1.28,0.01,0.01,0.34,0.021,0.021,,,,0.025806,2008,28/10/2008,308.2,2.4,2.4,54502,4.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 153950,256.1291667,-43.3097222,7.39,,,,,49.6,-0.01,1.12,1.34,F8V,4.3,6076,
HD 154088 b,Confirmed,0.0193,0.0081,0.0081,0.0193,0.0081,0.0081,,,,18.568,0.008,0.008,0.1316,0.0021,0.0021,0.28,0.12,0.12,,,,0.007393,2011,12/02/2019,,,,,,,,,,,,,,,,,,,,,,,,,1.64,0.23,0.23,,,,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,,,,HD 154088,256.1166667,-28.5827778,6.58,,,,,17.8,,,,K0IV,,,
HD 154345 b,Confirmed,1.3,0.6,1.9,1,0.3,0.3,,,,3538,300,300,4.3,0.4,0.4,0.26,0.15,0.15,50,26,26,0.238095,2006,25/05/2012,346,60,60,2454701,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 154345,255.65,47.0819444,6.74,,,,,18.06,-0.105,0.88,,G8V,4.92,5468,
HD 154672 b,Confirmed,5.02,0.17,0.17,5.02,0.17,0.17,,,,163.91,0.01,0.01,0.6,0.17,0.17,0.61,0.02,0.02,,,,0.009119,2008,02/02/2016,265,2,2,2454520,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 154672,257.5208333,-56.4491667,8.22,,7.01,6.7,6.61,65.8,0.26,1.06,1.27,G3IV,9.28,5714,
HD 154857 b,Confirmed,2.24,0.05,0.05,2.24,0.05,0.05,,,,408.6,0.5,0.5,1.291,0.008,0.008,0.46,0.02,0.02,,,,0.017518,2004,23/01/2014,57,4,4,2453572.5,2.4,2.4,,,,,,,,,,,,,,,,346,5,5,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 154857,257.8125,-56.6805556,7.25,,,,,64.2,-0.22,1.718,1.76,G5V,5.6,5445,
HD 154857 c,Confirmed,2.58,0.16,0.16,2.58,0.16,0.16,,,,3452,105,105,5.36,0.09,0.09,0.06,0.05,0.05,,,,,2014,24/01/2014,352,37,37,2455219,375,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 154857,257.8125,-56.6805556,7.25,,,,,64.2,-0.22,1.718,1.76,G5V,5.6,5445,
HD 155233 b,Confirmed,2.6,0.3,0.3,2.6,0.3,0.3,,,,818.8,12,12,2,0.06,0.06,0.04,0.04,0.04,,,,,2015,17/03/2016,120,71,71,2456282,192,192,,,,,,,,,,,,,,,,,,,40.5,3.1,3.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HIP 84056,,HD 155233,257.7666667,-20.65444446,6.8,,,,,75.1,0.1,1.5,5,K1III,,4845,
HD 155358 b,Confirmed,0.85,0.05,0.05,0.85,0.05,0.05,,,,194.3,0.3,0.3,0.64,0.01,0.01,0.17,0.03,0.03,,,,0.014884,2007,04/02/2012,143,11,11,2451224.8,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 155358,257.3958333,33.3558333,7.27,,,,,43,-0.51,0.92,,G0,10.7,5900,
HD 155358 c,Confirmed,0.82,0.07,0.07,0.82,0.07,0.07,,,,391.9,1,1,1.02,0.02,0.02,0.16,0.1,0.1,,,,0.023721,2007,04/02/2012,180,26,26,2455345.4,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 155358,257.3958333,33.3558333,7.27,,,,,43,-0.51,0.92,,G0,10.7,5900,
HD 156279 b,Confirmed,9.71,0.66,0.66,9.71,0.66,0.66,,,,131.05,0.54,0.54,0.495,0.017,0.017,0.708,0.018,0.018,,,,0.013525,2011,04/11/2011,264.2,1.7,1.7,2455525.59,0.18,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 156279,258.0958333,63.3522222,8.08,,,,,36.6,0.14,0.93,,K0,4,5453,
HD 156279 c,Confirmed,8.6,0.55,0.55,8.6,0.55,0.55,,,,4191,310,270,,,,0.23,0.02,0.02,,,,,2010,16/11/2018,101,1.9,2.3,2455912,17,17,,,,,,,,,,,,,,,,,,,110.2,4.1,4.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 156279,258.0958333,63.3522222,8.08,,,,,36.6,0.14,0.93,,K0,4,5453,
HD 156411 b,Confirmed,0.74,0.04,0.05,0.74,0.04,0.05,,,,842.2,14.5,14.5,1.88,0.04,0.04,0.22,0.08,0.08,,,,0.03412,2009,08/09/2010,43,14,14,4356,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 156411,259.9625,-48.5494444,6.67,,,,,55.1,-0.12,1.25,2.16,F8IV/V,,5900,
HD 156668 b,Confirmed,0.0131,0.0018,0.0018,0.0131,0.0018,0.0018,,,,4.646,0.0011,0.0011,0.05,0.0007,0.0007,0,,,,,,0.002041,2010,24/05/2010,,,,24718.57,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 156668,259.4166667,29.2272222,8.42,,,,,24.5,0.05,0.772,0.72,K3V,8.6,4850,
HD 157172 b,Confirmed,0.12,,,0.12,,,,,,104.84,,,0.416,,,0.46,,,,,,0.013041,2011,12/09/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 157172,260.6458333,-19.6161111,7.86,,,,,31.9,,,,G8.5V,,,
HD 158038 b,Confirmed,1.8,0.2,0.2,1.8,0.2,0.2,,,,521,6.9,6.9,1.52,0.04,0.04,0.291,0.093,0.093,,,,0.014672,2011,02/09/2011,334,10,10,2455491,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 158038,261.4375,27.3033333,7.64,,,,,103.6,0.28,1.65,4.8,K2III,2.5,4897,
HD 158996 b,Confirmed,14,2.3,2.3,14,2.3,2.3,,,,820.2,14,14,2.1,0.2,0.2,0.13,0.05,0.05,,,,,2018,22/03/2018,168,12,12,2454993,128,128,,,,,,,,,,,,,,,,,,,207,14,14,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 158996,259.9041667,80.13638889,5.8,,,,,294.1,-0.2,1.8,50.3,K5 III,1.6,4069,
HD 159243 b,Confirmed,1.13,0.05,0.05,1.13,0.05,0.05,,,,12.62,0.004,0.004,0.11,0.002,0.002,0.02,0.018,0.018,,,,,2013,25/08/2014,223,93,93,2456426.11,0.21,0.21,,,,2456416.78,0.22,0.22,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 159243,263.3416667,5.700833348,8.65,,,,,69.2,0.05,1.125,,G0V,1.25,6123,
