name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_alternate_names
Kepler-172 b,Confirmed,,,,,,,0.21,0.037,0.037,2.940309,7.00E-06,7.00E-06,0.04,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-172,283.3684082,41.821857,,,13.17,12.883,12.793,,0.012,0.86,1.08,,,5526,
Kepler-172 c,Confirmed,,,,,,,0.255,0.047,0.047,6.388996,2.00E-05,2.00E-05,0.068,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-172,283.3684082,41.821857,,,13.17,12.883,12.793,,0.012,0.86,1.08,,,5526,
Kepler-172 d,Confirmed,,,,,,,0.201,0.036,0.036,14.627119,0.000105,0.000105,0.118,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-172,283.3684082,41.821857,,,13.17,12.883,12.793,,0.012,0.86,1.08,,,5526,
Kepler-172 e,Confirmed,,,,,,,0.246,0.05,0.05,35.118736,0.000253,0.000253,0.211,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-172,283.3684082,41.821857,,,13.17,12.883,12.793,,0.012,0.86,1.08,,,5526,
Kepler-173 b,Confirmed,,,,,,,0.115,0.057,0.057,4.263742,2.10E-05,2.10E-05,0.048,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-173,294.646698,41.884106,,,13.081,12.763,12.668,,-0.786,0.78,0.95,,,6031,
Kepler-173 c,Confirmed,,,,,,,0.217,0.108,0.108,8.005777,1.50E-05,1.50E-05,0.074,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-173,294.646698,41.884106,,,13.081,12.763,12.668,,-0.786,0.78,0.95,,,6031,
Kepler-174 b,Confirmed,,,,,,,0.175,0.01,0.01,13.98179,2.40E-05,2.40E-05,0.1,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-174,287.439209,43.832092,,,12.791,12.293,12.184,,-0.556,,0.62,,,4880,
Kepler-174 c,Confirmed,,,,,,,0.133,0.008,0.008,44.000529,0.000265,0.000265,0.214,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-174,287.439209,43.832092,,,12.791,12.293,12.184,,-0.556,,0.62,,,4880,
Kepler-174 d,Confirmed,,,,,,,0.195,0.012,0.012,247.35373,0.002001,0.002001,0.677,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-174,287.439209,43.832092,,,12.791,12.293,12.184,,-0.556,,0.62,,,4880,
Kepler-175 b,Confirmed,,,,,,,0.228,0.114,0.114,11.903515,4.60E-05,4.60E-05,0.105,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-175,289.5532838,43.876183,,,13.773,13.487,13.496,,-0.023,1.04,1.01,,,6064,
Kepler-175 c,Confirmed,,,,,,,0.277,0.139,0.139,34.035257,0.000279,0.000279,0.213,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-175,289.5532838,43.876183,,,13.773,13.487,13.496,,-0.023,1.04,1.01,,,6064,
Kepler-176 b,Confirmed,,,,,,,0.128,0.065,0.065,5.433074,2.40E-05,2.40E-05,0.058,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-176,294.6679688,43.85326,,,13.097,12.686,12.567,,0.072,,0.89,,,5232,
Kepler-176 c,Confirmed,,,,,,,0.232,0.119,0.119,12.759712,3.30E-05,3.30E-05,0.102,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-176,294.6679688,43.85326,,,13.097,12.686,12.567,,0.072,,0.89,,,5232,
Kepler-176 d,Confirmed,,,,,,,0.224,0.118,0.118,25.751974,0.000115,0.000115,0.163,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-176,294.6679688,43.85326,,,13.097,12.686,12.567,,0.072,,0.89,,,5232,
Kepler-176 e,Confirmed,,,,,,,0.129,0.013,0.011,51.16579,0.0006432,0.0006432,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-176,294.6679688,43.85326,,,13.097,12.686,12.567,,0.072,,0.89,,,5232,
Kepler-177 b,Confirmed,0.00535,0.00787,0.00378,,,,0.259,0.013,0.013,35.855,,,,,,,,,,,,,2013,20/12/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-177,286.0458,45.0533,15,,,,,,0.091,0.93,0.98,,,5942,
Kepler-177 c,Confirmed,0.0198,0.033,0.0107,,,,0.635,0.033,0.033,49.412,,,,,,,,,,,,,2013,20/12/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-177,286.0458,45.0533,15,,,,,,0.091,0.93,0.98,,,5942,
Kepler-178 b,Confirmed,,,,,,,0.259,0.112,0.112,9.576694,2.10E-05,2.10E-05,0.085,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-178,287.1010742,46.896477,,,13.28,12.967,12.899,,-0.188,,1.07,,,5676,
Kepler-178 c,Confirmed,,,,,,,0.257,0.11,0.11,20.552802,6.60E-05,6.60E-05,0.142,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-178,287.1010742,46.896477,,,13.28,12.967,12.899,,-0.188,,1.07,,,5676,
Kepler-178 d,Confirmed,,,,,,,0.352,0.152,0.152,96.678988,0.000702,0.000702,0.397,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-178,287.1010742,46.896477,,,13.28,12.967,12.899,,-0.188,,1.07,,,5676,
Kepler-179 b,Confirmed,,,,,,,0.146,0.061,0.061,2.735926,8.00E-06,8.00E-06,0.036,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-179,298.6637268,47.762043,,,13.278,12.873,12.75,,-0.01,,0.76,,,5302,
Kepler-179 c,Confirmed,,,,,,,0.178,0.072,0.072,6.40013,1.70E-05,1.70E-05,0.064,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-179,298.6637268,47.762043,,,13.278,12.873,12.75,,-0.01,,0.76,,,5302,
Kepler-18 b,Confirmed,0.021615329,0.01094925,0.01094925,,,,0.178428367,0.008029277,0.008029277,3.504725,2.80E-05,2.80E-05,0.0447,0.0006,0.0006,,,,84.92,0.26,0.26,,2011,05/11/2013,,,,,,,,,,2454966.507,0.0021,0.0021,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-18,298.0791667,44.7463889,14,,,,,,0.2,0.972,1.108,,10,5383,
Kepler-18 c,Confirmed,0.054116981,0.005978039,0.005978039,,,,0.488893726,0.022303546,0.022303546,7.64159,3.00E-05,3.00E-05,0.0752,0.0011,0.0011,,,,87.68,0.22,0.22,,2011,05/11/2013,,,,,,,,,,2455167.088,0.0023,0.0023,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-18,298.0791667,44.7463889,14,,,,,,0.2,0.972,1.108,,10,5383,
Kepler-18 d,Confirmed,0.051285278,0.004373407,0.004373407,,,,0.62182286,0.028548539,0.028548539,14.85888,4.00E-05,4.00E-05,0.1172,0.0017,0.0017,,,,88.07,0.1,0.1,,2011,05/11/2013,,,,,,,,,,2455169.178,0.0013,0.0013,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-18,298.0791667,44.7463889,14,,,,,,0.2,0.972,1.108,,10,5383,
Kepler-180 b,Confirmed,,,,,,,0.134,0.06,0.06,13.817124,0.000155,0.000155,0.109,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-180,295.5713501,49.774586,,,13.057,12.696,12.685,,-0.194,0.84,1.06,,,5731,
Kepler-180 c,Confirmed,,,,,,,0.269,0.12,0.12,41.885775,0.000228,0.000228,0.229,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-180,295.5713501,49.774586,,,13.057,12.696,12.685,,-0.194,0.84,1.06,,,5731,
Kepler-181 b,Confirmed,,,,,,,0.113,0.055,0.055,3.137873,1.30E-05,1.30E-05,0.04,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-181,296.1513977,50.095806,,,13.364,12.948,12.876,,-0.162,,0.75,,,5333,
Kepler-181 c,Confirmed,,,,,,,0.178,0.087,0.087,4.302149,8.00E-06,8.00E-06,0.049,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-181,296.1513977,50.095806,,,13.364,12.948,12.876,,-0.162,,0.75,,,5333,
